	item	cnt
826	0312266855	1
827	0312291329	1
828	0312315716	1
829	0312334524	1
830	0312348231	1
831	0312348649	1
832	0312348673	1
833	0312360118	1
834	0312363362	1
835	0312364083	1
836	0312364105	1
837	0312364121	1
838	0312364423	2
839	0312367775	1
840	0312370156	1
841	0312376863	1
842	0312379064	1
843	0312380542	1
844	0312380798	1
845	0312385242	1
846	031242759X	1
847	0312485972	1
848	031248688X	1
849	0312495412	2
850	031249615X	1
851	0312496761	1
852	0312502192	1
853	0312510810	2
854	0312511078	1
855	0312539150	1
856	0312546602	1
857	0312546610	1
858	0312550057	1
859	0312551371	1
860	0312552459	1
861	0312556187	1
862	0312566743	1
863	031257357X	1
864	0312577206	1
865	0312577222	3
866	0312577907	1
867	0312593309	1
868	0312595689	1
869	0312598343	1
870	0312599064	1
871	0312601476	1
872	0312613725	1
873	0312650094	1
874	0312650116	1
875	0312654278	1
876	0312658656	1
877	0312664826	1
878	0312674724	1
879	0312674821	1
880	0312675127	1
881	0312675291	1
882	0312851820	1
883	0312852487	1
884	0312856830	1
885	0312875622	1
886	0312938640	1
887	0312941447	1
888	031294232X	1
889	0312959699	1
890	0314144552	1
891	0316000736	1
892	0316001821	1
893	031600202X	1
894	0316008079	1
895	0316009563	1
896	0316010790	1
897	0316013609	1
898	0316013935	1
899	0316014982	2
900	0316015784	1
901	0316016411	1
902	0316017744	1
903	0316018619	1
904	0316020710	1
905	0316021555	1
906	0316024635	1
907	0316027650	1
908	0316029181	1
909	0316031844	1
910	0316034002	1
911	0316037702	1
912	0316043400	1
913	0316043419	1
914	0316043877	1
915	0316044695	1
916	0316053597	1
917	0316055719	1
918	0316055735	1
919	0316058831	1
920	0316072796	1
921	0316075558	1
922	0316079936	1
923	0316097497	1
924	0316098329	2
925	0316099597	1
926	0316099678	1
927	0316125849	1
928	0316129070	1
929	0316129089	1
930	0316132942	1
931	0316154741	1
932	031615976X	1
933	0316174483	1
934	0316185906	1
935	0316187704	1
936	031620062X	1
937	0316206857	2
938	0316209872	1
939	0316210900	1
940	031621115X	1
941	0316222704	1
942	0316222739	1
943	0316225932	1
944	0316228532	1
945	0316231045	1
946	031623480X	1
947	0316235024	1
948	0316245283	5
949	0316248193	1
950	0316254894	1
951	0316278025	1
952	0316283746	1
953	0316284130	1
954	0316301191	1
955	0316306797	1
956	0316329428	1
957	031633409X	1
958	0316335614	1
959	0316336378	1
960	0316346624	1
961	0316352683	1
962	0316381101	1
963	0316386553	1
964	0316387843	1
965	0316390828	1
966	0316777722	1
967	0316857076	1
968	0316861979	1
969	032119991X	1
970	0321279085	1
971	0321501217	1
972	0321559606	1
973	0321644808	1
974	0321673352	1
975	0321696891	1
976	032175123X	1
977	0321756266	1
978	0321813839	1
979	0321817621	1
980	0321862694	1
981	0321897390	1
982	0323023894	1
983	0323026974	1
984	0323027679	1
985	0323028888	1
986	0323083471	1
987	0323089100	1
988	0323089496	1
989	0323322972	1
990	0324017316	1
991	0324322291	1
992	0329258400	3
993	0330303090	1
994	0330311735	1
995	0330313371	1
996	0330315579	1
997	0330351400	1
998	0330444085	1
999	0330450980	1
1000	0330521772	1
1001	0330535382	1
1002	0330544241	1
1003	0340202424	1
1004	0340259892	1
1005	0340734566	1
1006	0340766018	1
1007	0340821191	1
1008	0340822503	1
1009	0340822538	1
1010	0340824255	1
1011	0340835451	3
1012	0340835494	1
1013	0340836717	1
1014	0340920246	1
1015	0340938196	1
1016	0345286804	1
1017	0345304225	1
1018	0345310217	1
1019	0345310500	1
1020	0345331354	1
1021	0345342763	1
1022	0345368584	1
1023	0345400046	1
1024	0345434927	1
1025	0345450418	1
1026	0345455932	1
1027	0345456319	1
1028	0345457609	1
1029	0345457749	1
1030	0345476980	1
1031	0345479734	1
1032	0345483219	1
1033	0345486609	1
1034	0345497546	1
1035	0345504976	1
1036	0345505336	1
1037	0345506219	1
1038	0345506545	1
1039	0345512308	1
1040	0345514408	1
1041	0345519833	1
1042	0345520904	1
1043	0345522486	1
1044	0345528654	1
1045	0345529006	1
1046	0345531094	1
1047	0345536630	1
1048	0345536746	1
1049	0345539788	1
1050	0345539869	1
1051	0345542894	1
1052	0345542924	1
1053	0345542975	1
1054	0345543246	1
1055	034554398X	1
1056	034554806X	1
1057	0345807294	1
1058	034612557X	1
1059	0349005486	1
1060	0349141800	1
1061	0349400725	1
1062	0349401659	1
1063	0349401713	1
1064	0349403678	1
1065	0349403759	1
1066	0349407762	1
1067	0349414408	1
1068	0349414939	1
1069	0356500950	1
1070	0356500969	1
1071	0356501558	1
1072	0356502740	1
1073	037032921X	2
1074	0373077165	1
1075	0373150903	1
1076	0373210108	1
1077	037321040X	1
1078	0373211082	1
1079	0373211317	1
1080	0373266154	1
1081	0373278705	1
1082	0373278748	1
1083	0373278780	1
1084	0373285329	2
1085	0373442556	1
1086	0373443307	1
1087	0373659253	1
1088	0373697643	1
1089	0373699441	1
1090	0373733321	1
1091	0373733372	1
1092	037377611X	1
1093	0373830688	1
1094	0373837941	1
1095	0373892616	1
1096	0373892713	1
1097	0373892756	1
1098	0374112673	1
1099	0374264260	2
1100	0374271569	1
1101	0374351384	1
1102	0374504768	1
1103	0375402314	1
1104	0375402926	1
1105	0375403213	1
1106	0375409289	1
1107	0375411518	1
1108	0375416676	1
1109	0375433392	1
1110	0375434542	1
1111	0375713301	1
1112	037572382X	1
1113	0375723919	1
1114	0375813616	1
1115	037582233X	1
1116	0375822658	1
1117	0375822747	1
1118	0375822976	1
1119	0375825924	1
1120	0375836519	1
1121	0375845194	1
1122	0375850864	1
1123	0375853421	1
1124	0375855726	1
1125	037585908X	1
1126	0375862420	1
1127	037586511X	1
1128	0375867430	1
1129	0375868046	1
1130	0375868488	1
1131	0375869824	1
1132	0375870032	1
1133	0375870466	1
1134	0375871063	1
1135	0375969020	3
1136	0376020598	1
1137	0380002485	1
1138	0380703858	1
1139	0380713055	2
1140	0380718030	1
1141	038071907X	1
1142	0380771829	1
1143	0380773384	1
1144	0380790033	1
1145	0380800845	1
1146	0380810719	1
1147	0380815265	1
1148	038082079X	1
1149	0380820803	1
1150	0385142072	1
1151	0385235542	1
1152	0385238673	1
1153	0385247745	1
1154	0385257406	1
1155	0385267681	1
1156	0385310692	1
1157	0385311397	1
1158	0385323069	1
1159	038532328X	1
1160	0385332963	1
1161	0385335555	1
1162	0385336675	1
1163	0385340559	2
1164	0385340567	2
1165	0385341008	1
1166	0385341407	1
1167	0385342462	1
1168	0385344074	1
1169	0385344635	1
1170	0385346875	1
1171	0385348118	1
1172	038534905X	1
1173	0385349173	1
1174	0385349343	1
1175	038535438X	1
1176	0385361661	1
1177	0385375670	2
1178	0385375689	2
1179	0385376529	1
1180	0385376715	1
1181	0385477813	1
1182	0385479336	1
1183	0385488181	1
1184	0385495323	1
1185	0385516169	1
1186	038552272X	1
1187	0385523211	1
1188	0385523394	1
1189	0385526199	1
1190	0385537859	1
1191	0385660073	1
1192	038568231X	5
1193	0385689225	2
1194	0385720254	1
1195	0385743572	1
1196	0387404619	1
1197	0393031055	1
1198	0393035050	1
1199	0393041948	1
1200	0393049167	1
1201	0393050297	1
1202	0393050939	1
1203	0393058484	1
1204	039306512X	1
1205	0393065456	1
1206	0393066576	1
1207	0393072991	1
1208	0393081087	1
1209	0393081214	1
1210	0393347095	1
1211	0393706427	1
1212	0393912183	1
1213	0393927741	1
1214	0394406508	1
1215	0394521439	1
1216	0394701658	1
1217	0394702999	1
1218	0394719042	1
1219	0394826817	1
1220	0394829085	1
1221	0394875796	1
1222	0394891341	1
1223	0395083664	1
1224	0395109191	1
1225	0395168090	1
1226	0395389496	1
1227	0395511372	1
1228	0395843685	1
1229	0395911516	1
1230	0395934222	1
1231	0395935431	1
1232	0396032125	1
1233	0397010583	1
1234	0399143874	1
1235	0399143882	1
1236	0399144412	1
1237	0399144676	2
1238	0399144706	1
1239	0399146237	1
1240	0399146784	1
1241	0399148833	1
1242	0399149392	1
1243	0399151613	1
1244	0399152849	1
1245	0399153233	1
1246	0399153284	1
1247	0399153594	1
1248	0399155686	1
1249	0399157301	1
1250	0399157344	1
1251	0399157433	1
1252	0399157646	1
1253	0399157654	1
1254	0399158081	1
1255	0399158812	1
1256	0399158820	1
1257	0399159347	2
1258	0399159371	1
1259	0399160132	1
1260	0399162461	1
1261	0399162925	1
1262	0399164421	2
1263	0399164456	1
1264	0399167064	1
1265	0399167307	1
1266	0399172750	1
1267	0399173595	1
1268	0399216197	1
1269	0399230033	1
1270	0399230130	1
1271	0399237410	1
1272	0399247920	1
1273	0399257829	1
1274	0399523863	1
1275	0399532714	1
1276	0399537821	1
1277	0399539425	1
1278	0399552073	1
1279	0399552936	1
1280	039956781X	1
1281	039958031X	1
1282	0399584692	1
1283	0415832438	1
1284	0415843375	1
1285	0415881463	1
1286	0417028407	1
1287	0425100634	1
1288	0425138046	1
1289	0425176606	1
1290	0425181685	1
1291	0425226018	1
1292	0425229610	1
1293	0425231194	1
1294	0425236013	1
1295	0425252663	1
1296	0425252892	1
1297	0425255697	1
1298	0425256383	2
1299	0425257274	1
1300	0425259862	1
1301	0425262758	1
1302	0425262766	1
1303	0425263908	1
1304	0425264297	1
1305	0425264335	1
1306	0425266060	2
1307	0425266095	1
1308	0425269515	1
1309	0425269566	1
1310	0425271552	1
1311	0425271587	1
1312	0425271595	1
1313	0425271609	1
1314	0425275140	1
1315	0425277992	1
1316	042527814X	1
1317	0425280209	1
1318	0425280217	1
1319	0425280225	1
1320	0425291812	1
1321	0434017663	1
1322	0436460009	1
1323	0439023521	7
1324	0439024560	1
1325	0439024579	1
1326	0439024587	1
1327	0439025176	1
1328	0439049954	4
1329	0439049997	1
1330	0439064864	2
1331	0439087589	1
1332	043912042X	1
1333	0439135354	1
1334	0439139600	5
1335	0439208467	1
1336	0439208475	1
1337	0439249546	2
1338	043930346X	1
1339	0439309611	1
1340	0439321107	1
1341	0439358078	2
1342	0439376114	1
1343	0439376459	1
1344	0439376475	1
1345	0439399297	1
1346	043940553X	1
1347	0439417848	1
1348	0439425700	2
1349	0439434408	2
1350	0439471044	1
1351	0439513839	1
1352	0439517621	1
1353	0439517796	1
1354	0439554381	1
1355	0439559669	1
1356	0439559677	1
1357	0439559685	1
1358	0439611814	1
1359	0439635713	1
1360	0439635748	1
1361	0439651360	1
1362	0439651379	1
1363	0439651387	1
1364	0439673631	1
1365	0439746868	1
1366	0439763126	1
1367	0439787319	1
1368	0439806119	1
1369	0439809258	2
1370	0439813786	1
1371	0439873770	1
1372	0439895413	1
1373	0439906512	1
1374	0439922259	1
1375	043992376X	1
1376	0439995442	2
1377	0440168449	1
1378	0440245729	1
1379	0440245737	1
1380	0440423104	1
1381	0440423546	1
1382	0440539811	1
1383	0441011675	1
1384	0441012027	1
1385	0441015662	1
1386	0441016359	1
1387	0441018238	1
1388	0441018645	1
1389	0441019242	1
1390	0441019374	1
1391	0441020739	1
1392	0446194204	1
1393	044652252X	1
1394	0446523364	2
1395	0446523372	1
1396	0446525871	1
1397	0446527815	1
1398	0446532002	1
1399	0446546925	1
1400	0446568813	1
1401	0446578223	1
1402	0446579939	1
1403	0446580295	1
1404	0446582042	1
1405	0446600253	1
1406	0448404753	1
1407	0448456796	1
1408	0448461838	1
1409	0448462796	1
1410	0448463768	1
1411	0449003604	1
1412	0449014460	1
1413	0449150399	1
1414	0451141725	1
1415	0451154967	1
1416	0451155025	1
1417	0451163362	1
1418	0451168429	1
1419	0451171861	1
1420	0451175190	1
1421	0451176812	1
1422	0451180208	1
1423	0451181964	1
1424	0451193288	1
1425	0451204743	1
1426	0451206630	1
1427	0451208285	1
1428	0451215117	1
1429	0451220072	1
1430	0451220714	1
1431	0451221141	1
1432	0451221397	1
1433	0451221753	1
1434	0451222083	1
1435	0451222881	1
1436	0451223187	1
1437	0451223829	1
1438	0451225473	1
1439	045122681X	1
1440	0451226968	1
1441	0451227174	1
1442	0451230264	1
1443	0451234103	1
1444	0451412656	1
1445	0451414136	1
1446	0451416384	1
1447	0451416600	1
1448	0451419707	1
1449	0451419928	1
1450	0451458346	1
1451	0451460774	1
1452	0451461029	1
1453	045146365X	1
1454	0451469445	1
1455	0451474546	1
1456	0451474562	1
1457	0451484231	1
1458	0451489179	1
1459	0451496299	1
1460	0451524918	1
1461	0452266637	1
1462	0452277205	1
1463	0452286697	1
1464	0452287758	1
1465	0452289211	1
1466	0452297974	1
1467	0452297982	1
1468	0452298520	1
1469	0465003214	1
1470	0465005438	1
1471	0465020232	1
1472	0465023231	1
1473	0465036732	1
1474	0470045213	1
1475	0470045809	1
1476	0470048964	1
1477	0470052821	1
1478	0470088567	1
1479	0470134828	1
1480	047015327X	1
1481	0470160616	1
1482	0470169990	1
1483	0470251387	1
1484	0470383283	1
1485	0470399163	1
1486	0470421355	1
1487	0470423676	1
1488	0470424419	1
1489	0470430699	1
1490	0470453087	1
1491	0470454652	1
1492	0470465425	1
1493	0470475358	1
1494	0470500883	1
1495	0470559640	1
1496	0470560770	1
1497	0470566922	1
